date,global_total_cases,global_total_deaths
2023-06-25,767135417,6950603
2023-06-26,767286440,6950789
2023-06-27,767291463,6951412
2023-06-28,767293991,6951448
2023-06-29,767296409,6951482
2023-06-30,767299003,6951500
2023-07-01,767302339,6951573
2023-07-02,767311903,6951744
2023-07-03,767471775,6952003
2023-07-04,767480643,6952573
2023-07-05,767482414,6952598
2023-07-06,767484187,6952619
2023-07-07,767485928,6952642
2023-07-08,767488594,6952689
2023-07-09,767494278,6952814
2023-07-10,767678486,6952952
2023-07-11,767682275,6953531
2023-07-12,767684234,6953564
2023-07-13,767686001,6953581
2023-07-14,767687779,6953599
2023-07-15,767689980,6953649
2023-07-16,767695743,6953746
2023-07-17,767927055,6953888
2023-07-18,767930815,6954511
2023-07-19,767932839,6954537
2023-07-20,767934766,6954562
2023-07-21,767936737,6954582
2023-07-22,767939290,6954605
2023-07-23,767945891,6954688
2023-07-24,768237342,6954922
2023-07-25,768244461,6955582
2023-07-26,768246736,6955602
2023-07-27,768248895,6955622
2023-07-28,768251094,6955652
2023-07-29,768253800,6955681
2023-07-30,768262888,6955790
2023-07-31,768600390,6956097
2023-08-01,768940201,6956875
2023-08-02,768943229,6957112
2023-08-03,768946115,6957150
2023-08-04,768949242,6957189
2023-08-05,768952688,6957228
2023-08-06,768964556,6957358
2023-08-07,769001456,6957476
2023-08-08,769072609,6958374
2023-08-09,769075749,6958417
2023-08-10,769078778,6958448
2023-08-11,769082068,6958484
2023-08-12,769085829,6958551
2023-08-13,769098492,6958681
2023-08-14,769334664,6958974
2023-08-15,769345110,6960030
2023-08-16,769348823,6960069
2023-08-17,769351814,6960109
2023-08-18,769355941,6960160
2023-08-19,769361154,6960224
2023-08-20,769377097,6960363
2023-08-21,769681262,6960649
2023-08-22,769692174,6961983
2023-08-23,769697926,6962034
2023-08-24,769703157,6962083
2023-08-25,769707891,6962129
2023-08-26,769713556,6962196
2023-08-27,769733955,6962386
2023-08-28,770012811,6962500
2023-08-29,770024868,6963832
2023-08-30,770031206,6963884
2023-08-31,770036821,6963943
2023-09-01,770042641,6964002
2023-09-02,770049305,6964149
2023-09-03,770074072,6964310
2023-09-04,770229172,6964582
2023-09-05,770244730,6966075
2023-09-06,770254025,6966126
